Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
47000.  4.00   11.4   1.20e-06    3074.
n = 2971

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  3.25000000e+03  1.61247351e-03  1.61246816e-03  1.00000334e+00
  3.20394971e+03  1.65079732e-03  1.65079150e-03  1.00000346e+00
  3.15000000e+03  1.69732387e-03  1.69731746e-03  1.00000370e+00
  3.13348975e+03  1.71192572e-03  1.71191921e-03  1.00000381e+00
  3.13344067e+03  1.71197136e-03  1.71196484e-03  1.00000381e+00
  3.05656396e+03  1.78230775e-03  1.78230030e-03  1.00000417e+00
  3.05000000e+03  1.78849755e-03  1.78848987e-03  1.00000417e+00
  2.98336914e+03  1.85304461e-03  1.85303600e-03  1.00000465e+00
  2.95000000e+03  1.88658212e-03  1.88657315e-03  1.00000477e+00
  2.87500000e+03  1.96507294e-03  1.96506269e-03  1.00000525e+00
  2.84701562e+03  1.99550996e-03  1.99549948e-03  1.00000525e+00
  2.82500000e+03  2.01991154e-03  2.01990060e-03  1.00000548e+00
  2.77500000e+03  2.07686913e-03  2.07685726e-03  1.00000572e+00
  2.72258130e+03  2.13896600e-03  2.13895319e-03  1.00000596e+00
  2.67500000e+03  2.19754409e-03  2.19753059e-03  1.00000620e+00
  2.62500000e+03  2.26147566e-03  2.26146122e-03  1.00000644e+00
  2.60860254e+03  2.28299061e-03  2.28297594e-03  1.00000656e+00
  2.60856860e+03  2.28299759e-03  2.28298269e-03  1.00000656e+00
  2.57500000e+03  2.32791551e-03  2.32790015e-03  1.00000656e+00
  2.53000000e+03  2.39002239e-03  2.39000609e-03  1.00000679e+00
  2.52261279e+03  2.40043039e-03  2.40041409e-03  1.00000679e+00
  2.48000000e+03  2.46167532e-03  2.46165833e-03  1.00000691e+00
  2.44214111e+03  2.51785875e-03  2.51784106e-03  1.00000715e+00
  2.42500000e+03  2.54386105e-03  2.54384289e-03  1.00000715e+00
  2.37500000e+03  2.62178457e-03  2.62176548e-03  1.00000727e+00
  2.32500000e+03  2.70291115e-03  2.70289113e-03  1.00000751e+00
  2.29567627e+03  2.75203888e-03  2.75201816e-03  1.00000763e+00
  2.27500000e+03  2.78738816e-03  2.78736651e-03  1.00000775e+00
  2.22500000e+03  2.87536718e-03  2.87534436e-03  1.00000787e+00
  2.17500000e+03  2.96700490e-03  2.96698068e-03  1.00000811e+00
  2.16578540e+03  2.98430468e-03  2.98428023e-03  1.00000823e+00
  2.12500000e+03  3.06246104e-03  3.06243543e-03  1.00000834e+00
  2.12400000e+03  2.95350770e-03  3.06441588e-03  9.63807642e-01
  2.12266211e+03  3.06702009e-03  3.06706550e-03  9.99985158e-01
  2.12132593e+03  3.02073802e-03  3.06971185e-03  9.84046102e-01
  2.11999170e+03  3.07232770e-03  3.07235494e-03  9.99991119e-01
