Age (s),L_FUV/M (L_sun/M_sun)
42600000.0,8.265458206817147
42700000.0,8.2524314480229
42800000.0,8.218725303496361
42900000.0,8.21755756979114
43000000.0,8.203754599797563
43100000.0,8.176040504308482
43200000.0,8.172162611562442
43300000.0,8.166815745260092
43400000.0,8.12592515626004
43500000.0,8.135005091172621
43600000.0,8.130165307787776
43700000.0,8.09984589165976
43800000.0,8.087133866413833
43900000.0,8.083484507194564
44000000.0,8.068776178903734
44100000.0,8.041579542862591
44200000.0,8.044045301542742
44300000.0,8.039643734989864
44400000.0,7.9999725925588265
44500000.0,8.000343373579412
44600000.0,7.985536457673662
44700000.0,7.957813317942095
44800000.0,7.956278493146749
44900000.0,7.947580206735603
45000000.0,7.913191022731641
45100000.0,7.909023073362508
45200000.0,7.90422712212922
45300000.0,7.873911450380735
45400000.0,7.875028821445996
45500000.0,7.869254344367453
45600000.0,7.842727852980871
45700000.0,7.819473912966575
45800000.0,7.814322028665228
45900000.0,7.80555069481843
46000000.0,7.774919699395864
46100000.0,7.76939598766098
46200000.0,7.764732218858636
46300000.0,7.720087525589658
46400000.0,7.725462848173069
46500000.0,7.709957515448467
46600000.0,7.680770381085665
46700000.0,7.676132291503633
46800000.0,7.6632185034685625
46900000.0,7.637130730017596
47000000.0,7.61509703962746
47100000.0,7.614017645520273
47200000.0,7.590561432815871
47300000.0,7.568342457962214
47400000.0,7.561591636446907
47500000.0,7.543010675352987
47600000.0,7.4969617543197336
47700000.0,7.4919579037209205
47800000.0,7.476302511141134
47900000.0,7.433000782745523
48000000.0,7.433489393283153
48100000.0,7.428237448256245
48200000.0,7.388565517700165
48300000.0,7.3914455213483
48400000.0,7.386660176405547
48500000.0,7.349392684158136
