# My Header 
#  has 3 lines 
#  Wavelenth (micron)  Kappa (m^2/kg)
1.189000000000000057e+01 4.628544246920039740e+01
1.175000000000000000e+01 4.664077715368200927e+01
1.160999999999999943e+01 4.803495063780810881e+01
1.148000000000000043e+01 5.109486282612174790e+01
1.134999999999999964e+01 5.533296632174430130e+01
1.122000000000000064e+01 5.540852968530820988e+01
1.108999999999999986e+01 5.278356409037937169e+01
1.096000000000000085e+01 5.172145483199965099e+01
1.083999999999999986e+01 5.166123806811234687e+01
1.072000000000000064e+01 5.207894962481323375e+01
1.058999999999999986e+01 5.279354457822650915e+01
1.047000000000000064e+01 5.380720822389054092e+01
1.034999999999999964e+01 5.489884560102649402e+01
1.023000000000000043e+01 5.604736145039408513e+01
1.011999999999999922e+01 5.715559964609011701e+01
1.000000000000000000e+01 5.839703271986861211e+01
9.885999999999999233e+00 5.984577273399080610e+01
9.772000000000000242e+00 6.134893945651787561e+01
9.660999999999999588e+00 6.288490599235014145e+01
9.550000000000000711e+00 6.450320349114517171e+01
9.441000000000000725e+00 6.620889018319533648e+01
9.333000000000000185e+00 6.830675088974231812e+01
9.226000000000000867e+00 7.060884931464163117e+01
9.119999999999999218e+00 7.323338569874755422e+01
9.016000000000000014e+00 7.638323810461999130e+01
8.913000000000000256e+00 8.048805938104295876e+01
8.810000000000000497e+00 8.660638414073306990e+01
8.710000000000000853e+00 9.499739242484010049e+01
8.609999999999999432e+00 1.024708187284104355e+02
8.510999999999999233e+00 1.028728408701800845e+02
8.413999999999999702e+00 1.011278675511245666e+02
8.317999999999999616e+00 1.024543006482319356e+02
8.221999999999999531e+00 1.066334120682727757e+02
8.128000000000000114e+00 1.132741911257569143e+02
8.035000000000000142e+00 1.223746476972625885e+02
7.942999999999999616e+00 1.337830934373421030e+02
7.852000000000000313e+00 1.466240992613162746e+02
7.761999999999999567e+00 1.570942254493923826e+02
7.674000000000000377e+00 1.607558942841381793e+02
7.586000000000000298e+00 1.565690390224461623e+02
7.498999999999999666e+00 1.480939138178989367e+02
7.413000000000000256e+00 1.398912563938488063e+02
7.328000000000000291e+00 1.334954688444327360e+02
7.243999999999999773e+00 1.291836083684766265e+02
7.160999999999999588e+00 1.266254208213040897e+02
7.078999999999999737e+00 1.253885085233187056e+02
6.998000000000000220e+00 1.256340260025879445e+02
6.918000000000000149e+00 1.266082730560797529e+02
6.839000000000000412e+00 1.281645353197961299e+02
6.761000000000000121e+00 1.302296044660435541e+02
6.682999999999999829e+00 1.328528488729009212e+02
6.607000000000000206e+00 1.366546849419889327e+02
6.530999999999999694e+00 1.414295594593024532e+02
6.456999999999999851e+00 1.477227191380356146e+02
6.383000000000000007e+00 1.568349059315888780e+02
6.309999999999999609e+00 1.702981243369187894e+02
6.237000000000000099e+00 1.862389557509358440e+02
6.166000000000000369e+00 1.899712628913912340e+02
6.094999999999999751e+00 1.810285918770611886e+02
6.025999999999999801e+00 1.733789526138931762e+02
5.956999999999999851e+00 1.701266123339340481e+02
5.887999999999999901e+00 1.704373126941885062e+02
5.820999999999999730e+00 1.721671182222405889e+02
5.753999999999999559e+00 1.747519723728164251e+02
5.689000000000000057e+00 1.777119248903269124e+02
5.623000000000000220e+00 1.810409763206545790e+02
5.559000000000000163e+00 1.852825865127636007e+02
5.495000000000000107e+00 1.896584509158514891e+02
5.432999999999999829e+00 1.939789686150789407e+02
5.370000000000000107e+00 1.984430803520940572e+02
5.309000000000000163e+00 2.028081949036867684e+02
5.248000000000000220e+00 2.081106244985167564e+02
5.187999999999999723e+00 2.133539002707752275e+02
5.128999999999999559e+00 2.185315629683008183e+02
5.070000000000000284e+00 2.237289218104243673e+02
5.011999999999999567e+00 2.288524218864419311e+02
4.955000000000000071e+00 2.348675044486251124e+02
4.897999999999999687e+00 2.408937652204422193e+02
4.841999999999999638e+00 2.468233884224481471e+02
4.785999999999999588e+00 2.527609653341643252e+02
4.732000000000000206e+00 2.584931713052604323e+02
4.676999999999999602e+00 2.653982311861175276e+02
4.623999999999999666e+00 2.720573284023258793e+02
4.570999999999999730e+00 2.787214386522579730e+02
4.519000000000000128e+00 2.852642853063915709e+02
4.466999999999999638e+00 2.918115137496044440e+02
4.416000000000000369e+00 2.994144920527073737e+02
4.365000000000000213e+00 3.070211265840857209e+02
4.315000000000000391e+00 3.144821121893038480e+02
4.266000000000000014e+00 3.217971149462666745e+02
4.216999999999999638e+00 3.291147700741404947e+02
4.168999999999999595e+00 3.376228956833647885e+02
4.121000000000000441e+00 3.461341301947122133e+02
4.073999999999999844e+00 3.544707711264134673e+02
4.027000000000000135e+00 3.628096698923786221e+02
3.980999999999999872e+00 3.709731492315839319e+02
3.935999999999999943e+00 3.804848054645028697e+02
3.890000000000000124e+00 3.902079799196440604e+02
3.846000000000000085e+00 3.995128791562164565e+02
3.802000000000000046e+00 4.088193434286947081e+02
3.758000000000000007e+00 4.181278201242412820e+02
3.714999999999999858e+00 4.290381725145034011e+02
3.673000000000000043e+00 4.396979256641940310e+02
3.630999999999999783e+00 4.503599163641522978e+02
3.588999999999999968e+00 4.610245387973006927e+02
3.548000000000000043e+00 4.714404053036878395e+02
3.508000000000000007e+00 4.837002449589501794e+02
3.467000000000000082e+00 4.962720647012566815e+02
3.427999999999999936e+00 5.082493371041516070e+02
3.387999999999999901e+00 5.205720842833538882e+02
3.350000000000000089e+00 5.324603905217691135e+02
3.310999999999999943e+00 5.482789600323302466e+02
3.273000000000000131e+00 5.610780184013293592e+02
3.236000000000000210e+00 5.738475943662974714e+02
3.198999999999999844e+00 5.871982323735059026e+02
3.161999999999999922e+00 6.006329160007038581e+02
3.125999999999999890e+00 6.159025778063762573e+02
3.089999999999999858e+00 6.311770919140897149e+02
3.055000000000000160e+00 6.460339994874361764e+02
3.020000000000000018e+00 6.608942961507285645e+02
2.984999999999999876e+00 6.757592215412610130e+02
2.951000000000000068e+00 6.907547554567935322e+02
2.916999999999999815e+00 7.057533568481683233e+02
2.883999999999999897e+00 7.203143207377780755e+02
2.850999999999999979e+00 7.348778206340432462e+02
2.818000000000000060e+00 7.494435813708769274e+02
2.786000000000000032e+00 7.640486015295404059e+02
2.754000000000000004e+00 7.786557053827888240e+02
2.722999999999999865e+00 7.928120391001285725e+02
2.692000000000000171e+00 8.069681993208137101e+02
2.661000000000000032e+00 8.211266272391803795e+02
2.629999999999999893e+00 8.369869074094949610e+02
2.600000000000000089e+00 8.523386820546459148e+02
2.569999999999999840e+00 8.676916210171818875e+02
2.540999999999999925e+00 8.825373838151222117e+02
2.512000000000000011e+00 8.973850581536860318e+02
2.483000000000000096e+00 9.147509299398381017e+02
2.455000000000000071e+00 9.315225892037573203e+02
2.427000000000000046e+00 9.482965734676600960e+02
2.399000000000000021e+00 9.650731229464515764e+02
2.370999999999999996e+00 9.818505942631500147e+02
2.343999999999999861e+00 1.001946887567369686e+03
2.317000000000000171e+00 1.022044980020102571e+03
2.290999999999999925e+00 1.041405202589001647e+03
2.265000000000000124e+00 1.060766672078648753e+03
2.238999999999999879e+00 1.080131279000620907e+03
2.213000000000000078e+00 1.105165864193444577e+03
2.188000000000000167e+00 1.129244302692550264e+03
2.162999999999999812e+00 1.153325282114935135e+03
2.137999999999999901e+00 1.177408463314990286e+03
2.112999999999999989e+00 1.201493747315895234e+03
2.088999999999999968e+00 1.229128705841429110e+03
2.064999999999999947e+00 1.256766980698173029e+03
2.041999999999999815e+00 1.283261492475246314e+03
2.017999999999999794e+00 1.310904853102091920e+03
1.995000000000000107e+00 1.337404603620031367e+03
1.971999999999999975e+00 1.365219417953273023e+03
1.949999999999999956e+00 1.391834139517514814e+03
1.927999999999999936e+00 1.418451373351531402e+03
1.905000000000000027e+00 1.446274663358788530e+03
1.883999999999999897e+00 1.471694631034625218e+03
1.862000000000000099e+00 1.494077437541721338e+03
1.840999999999999970e+00 1.515452890634922824e+03
1.820000000000000062e+00 1.536832112152652599e+03
1.798999999999999932e+00 1.558212951805455759e+03
1.778000000000000025e+00 1.579598673821732518e+03
1.758000000000000007e+00 1.597101279040788768e+03
1.737999999999999989e+00 1.614605964060437145e+03
1.717999999999999972e+00 1.632114930390370773e+03
1.697999999999999954e+00 1.649626729454488213e+03
1.679000000000000048e+00 1.666274299029978692e+03
1.659999999999999920e+00 1.686084877652825298e+03
1.641000000000000014e+00 1.705896992010189706e+03
1.622000000000000108e+00 1.725710043734487726e+03
1.602999999999999980e+00 1.745526165545581989e+03
1.584999999999999964e+00 1.764313681323994842e+03
1.566999999999999948e+00 1.785174075596824196e+03
1.548999999999999932e+00 1.806038451563175386e+03
1.530999999999999917e+00 1.826905870554703370e+03
1.514000000000000012e+00 1.846630363036592598e+03
1.495999999999999996e+00 1.867509632694843276e+03
1.479000000000000092e+00 1.897441317713896751e+03
1.461999999999999966e+00 1.927379502602228968e+03
1.445000000000000062e+00 1.957325299242173969e+03
1.429000000000000048e+00 1.985529154224096374e+03
1.413000000000000034e+00 2.013739522784934252e+03
1.395999999999999908e+00 2.057172867632004454e+03
1.379999999999999893e+00 2.098078028309419096e+03
1.364999999999999991e+00 2.136444248240377419e+03
1.348999999999999977e+00 2.177355037518355402e+03
1.334000000000000075e+00 2.215732057064902619e+03
