lookback_myr,sfr_surface_density_msun_per_myr_per_kpc2,sfr_surface_density_uncertainty_msun_per_myr_per_kpc2
29.2,35.7905708847523,6.32026996247499
29.3,35.7292144816478,6.31024339416378
29.4,35.6751208911727,6.23411574601432
29.5,35.6283759705627,6.24444118546016
29.6,35.5882283540569,6.30103751859241
29.7,35.5552242264109,6.31617230789928
29.8,35.5301915444833,6.30488471103152
29.9,35.5131796376343,6.33810799229764
30.0,35.5042207813993,6.43959512670626
30.1,35.503329262711,6.48448431183433
30.2,35.5105007954628,6.49034899170375
30.3,35.5257123489425,6.64709726483581
30.4,35.548922457695,6.7274586544961
30.5,36.3177357627781,6.7402925087624
30.6,36.4018183599174,6.846941611
30.7,36.4950056561387,6.92278174491144
30.8,36.5972635346307,6.95750828085681
30.9,36.7085506493885,7.02311856746277
31.0,37.7660389089088,7.09147823848138
31.1,38.6074502597191,7.26496860792309
31.2,39.827988667767,7.243730902826541
31.3,40.5039323904434,7.41450139164895
31.4,41.2232092486742,7.51100111645558
31.5,42.016630457735104,7.65670094858959
31.6,43.0160296118478,7.78769061950752
31.7,44.264696398329,7.91426706990148
31.8,44.606888477327104,8.04551066291068
31.9,44.9607933759233,8.44384524712157
32.0,45.2818048863854,8.62503914104513
32.1,45.5433283538204,8.6930628763592
32.2,45.8180357787409,8.95145164195644
32.3,46.1104579789269,9.16783258015303
32.4,46.41430652480489,9.46825083450803
32.5,46.7307983086397,9.53337402324438
32.6,47.061373624332,9.68710367922932
32.7,47.4077001662478,9.99636785865883
32.8,47.7716704637407,10.533875848172
32.9,48.1553914369015,11.202290942817
33.0,48.7362544664223,11.6141588521184
33.1,52.0585428198026,12.6272265532708
33.2,52.4968670865185,13.2382601699359
33.3,52.967167263067296,14.1646061835781
33.4,53.4723507662677,15.5479516527684
33.5,54.015270640419295,16.4004366671692
33.6,54.5986339401453,17.2693383512355
33.7,55.2248967913925,18.3951339070298
33.8,55.8961468154446,19.5006466604471
33.9,56.613974149335,20.3539013091333
